,Context,Prompt,Completion
1,"Section 181:
CMSC 29700.  Reading and Research in Computer Science.  100 Units.
Students do reading and research in an area of computer science under the guidance of a faculty member. A written report is typically required.
Terms Offered: Autumn,Spring,Summer,Winter
Prerequisite(s): By consent of instructor and approval of department counselor.
Note(s): Open both to students who are majoring in Computer Science and to nonmajors. Students are required to submit the College Reading and Research Course Form.",What is the course code and title for Section 181?,CMSC 29700. Reading and Research in Computer Science.
2,,How many units is Section 181 worth?,Section 181 is worth 100 units.
3,,What is the prerequisite for Section 181?,The prerequisite for Section 181 is by consent of instructor and approval of department counselor.
4,,Is Section 181 open only to Computer Science majors?,"No, Section 181 is open both to students who are majoring in Computer Science and to nonmajors."
5,,What form do students need to submit for Section 181?,Students are required to submit the College Reading and Research Course Form for Section 181.
6,Students with no prior experience in computer science should plan to start the sequence at the beginning in CMSC 14100 Introduction to Computer Science I. Students with prior experience should plan to take the placement exam(s) (described below) to identify the appropriate place to start the sequence.,What course should students with no prior experience in computer science start with?,CMSC 14100 Introduction to Computer Science I.
7,,What should students with prior experience in computer science do to determine their starting point?,They should plan to take the placement exam(s).
8,,What are the placement exams offered by the Department of Computer Science?,"The Online Introduction to Computer Science 1 Exam, the Online Introduction to Computer Science 2 Exam, and the Systems Programming Exam."
9,,What happens if a student places into CMSC 14200 Introduction to Computer Science II?,They will be invited to sit for the Online Introduction to Computer Science Exam 2.
10,,Are the Online Introduction to Computer Science Exams available to all students?,"No, they may be taken (once) by entering students or by students who entered the College prior to Summer Quarter 2023. These exams will be offered in the summer prior to matriculation."
11,"Students who are interested in data science should consider starting with DATA 11800 Introduction to Data Science I.
Students who are interested in the visual arts or design should consider CMSC 11111 Creative Coding.",What course is recommended for students interested in data science?,DATA 11800 Introduction to Data Science I.
12,,What course is recommended for students interested in visual arts or design?,CMSC 11111 Creative Coding.
13,,Can students interested in both data science and visual arts take both courses?,"Yes, they can."
14,,Are there any prerequisites for DATA 11800 or CMSC 11111?,The context does not provide information on prerequisites.
15,,Are there any other courses recommended for students interested in data science or visual arts?,The context does not provide information on other recommended courses.
16,"Placement
Exam Placement Paths
Students with prior experience may place out of one or more of the introductory courses by successfully completing placement exam(s). The College and the Department of Computer Science offer three placement exams to help determine the correct starting point:


The Online Introduction to Computer Science 1 Exam


The Online Introduction to Computer Science 2 Exam


The Systems Programming Exam


The Online Introduction to Computer Science Exams may be taken (once) by entering students or by students who entered the College prior to Summer Quarter 2023. These exams will be offered in the summer prior to matriculation.
Solely based on the Online Introduction to Computer Science 1 Exam, students may be placed into:


CMSC 14100 Introduction to Computer Science I


CMSC 14200 Introduction to Computer Science II


Students who place into CMSC 14200 Introduction to Computer Science II will be invited to sit for the Online Introduction to Computer Science Exam 2.

Solely based on the Online Introduction to Computer Science 2 Exam, students may be placed into CMSC 14300 Systems Programming I.
Students who place into CMSC 14300 Systems Programming I will be invited to sit for the Systems Programming Exam.

Solely based on the Systems Programming Exam, students may be placed into CMSC 14400 Systems Programming II.",What are the three placement exams offered by the College and Department of Computer Science?,"The Online Introduction to Computer Science 1 Exam, the Online Introduction to Computer Science 2 Exam, and the Systems Programming Exam."
17,,Can students place out of introductory courses by completing placement exams?,"Yes, students with prior experience may place out of one or more of the introductory courses by successfully completing placement exam(s)."
18,,How many times can students take the Online Introduction to Computer Science Exams?,Students may take the Online Introduction to Computer Science Exams once.
19,,When are the Online Introduction to Computer Science Exams offered?,These exams will be offered in the summer prior to matriculation.
20,,What course may students be placed into based solely on the Online Introduction to Computer Science 1 Exam?,Students may be placed into CMSC 14100 Introduction to Computer Science I.
21,,What courses may students be placed into based solely on the Online Introduction to Computer Science 1 Exam?,Students may be placed into CMSC 14100 Introduction to Computer Science I or CMSC 14200 Introduction to Computer Science II.
22,,What happens if a student places into CMSC 14200 Introduction to Computer Science II?,Students who place into CMSC 14200 Introduction to Computer Science II will be invited to sit for the Online Introduction to Computer Science Exam 2.
23,,What course may students be placed into based solely on the Online Introduction to Computer Science 2 Exam?,Students may be placed into CMSC 14300 Systems Programming I.
24,,What exam are students invited to sit for if they place into CMSC 14300 Systems Programming I?,Students who place into CMSC 14300 Systems Programming I will be invited to sit for the Systems Programming Exam.
25,,What course may students be placed into based solely on the Systems Programming Exam?,Students may be placed into CMSC 14400 Systems Programming II.
26,,Are the placement exams mandatory?,"No, students are not required to take the placement exams."
27,,Who is eligible to take the placement exams?,Students with prior experience are eligible to take the placement exams.
28,,Are the placement exams only for Computer Science majors?,"No, the placement exams are open to both Computer Science majors and non-majors."
29,,Is it possible to place out of multiple introductory courses with a single placement exam?,"Yes, students with prior experience may place out of one or more of the introductory courses by successfully completing placement exam(s)."
30,,How many units is CMSC 14100 Introduction to Computer Science I?,CMSC 14100 Introduction to Computer Science I is 100 units.
31,,How many units is the Reading and Research in Computer Science course?,The Reading and Research in Computer Science course is 100 units.
32,,What is the prerequisite for CMSC 14100 Introduction to Computer Science I?,By consent of instructor and approval of department counselor.
33,,What course should students interested in data science consider starting with?,Students interested in data science should consider starting with DATA 11800 Introduction to Data Science I.
34,,What course should students interested in the visual arts or design consider taking?,Students interested in the visual arts or design should consider taking CMSC 11111 Creative Coding.
35,,What should students do if they have prior experience in computer science?,Students with prior experience should plan to take the placement exam(s) to identify the appropriate place to start the sequence.
